id,date,real,pred_good,pred_bad
0,2017-09-06,1439.0,985.7366151019586,792.2815290589053
1,2017-09-07,1442.0,964.7450351095229,796.339634516101
2,2017-09-08,1442.0,966.3966503068988,799.3121515793625
3,2017-09-09,1442.0,953.3072068046276,799.3900671666249
4,2017-09-10,1442.0,978.5526329721952,796.7510600657864
5,2017-09-11,1442.0,1004.6903208283608,795.1736632328428
6,2017-09-12,1442.0,992.6335844559252,794.7503839753697
7,2017-09-13,1327.0,936.2475279038077,815.2920394467511
8,2017-09-14,1327.0,908.9981451465814,826.3689664731829
9,2017-09-15,1327.0,879.3424831558023,830.1716150420282
10,2017-09-16,1258.0,843.5912997311618,809.6776748211363
11,2017-09-17,1258.0,831.883628514924,811.3862725727818
12,2017-09-18,1258.0,816.3834566419702,804.469666585194
13,2017-09-19,1258.0,680.5700211833238,677.2108325909736
14,2017-09-20,1258.0,915.7991337858801,793.8725328229158
15,2017-09-21,1334.0,928.0297131707846,798.5566839381082
16,2017-09-22,1317.0,957.7278276780717,795.0097501786064
17,2017-09-23,1281.0,953.6939603994867,795.1769234820897
18,2017-09-24,1281.0,978.7749992366115,793.819960637693
19,2017-09-25,1281.0,965.9859377702064,794.9859223288481
20,2017-09-26,1281.0,947.4751143625381,794.9871607759304
21,2017-09-27,1302.0,866.6788821340964,693.7659924504575
22,2017-09-28,776.0,695.7609708316644,651.4754417997602
23,2017-09-29,776.0,586.590074263864,560.4367320955255
24,2017-09-30,776.0,496.84952994392563,482.41011517459003
25,2017-10-01,776.0,463.56263026575294,458.1499216215103
26,2017-10-02,776.0,469.931513846986,466.4275740249197
27,2017-10-03,776.0,436.3873241229917,434.41631320993184
28,2017-10-04,776.0,607.7414885351628,794.4039758317158
29,2017-10-05,776.0,523.4553124287899,796.5925015366287
30,2017-10-06,776.0,589.9388522270405,795.6447292819075
31,2017-10-07,834.0,591.9210496638316,797.8000780339589
32,2017-10-08,834.0,586.1590861529087,798.8914611239227
33,2017-10-09,834.0,597.7610801040873,796.7809447957243
34,2017-10-10,834.0,653.8718646145375,796.4307882713575
35,2017-10-11,834.0,594.7968218415493,668.0735998598366
36,2017-10-12,823.0,582.9792315191271,630.8994513955217
37,2017-10-13,766.0,553.7257728038483,591.069083334345
38,2017-10-14,766.0,517.5057188559517,544.5875595466221
39,2017-10-15,766.0,540.29817569549,556.3526789337982
40,2017-10-16,766.0,512.9021914984487,522.7310532276939
41,2017-10-17,766.0,515.6502906530311,521.3343748135254
42,2017-10-18,766.0,663.5065992307369,795.504834853701
43,2017-10-19,824.0,633.8108124071226,796.1891663929688
44,2017-10-20,824.0,647.0075339898725,795.01625682184
45,2017-10-21,824.0,674.0143345926161,797.876010187469
46,2017-10-22,824.0,703.4420114781717,793.6258623009566
47,2017-10-23,824.0,712.339117633206,794.4545475305587
48,2017-10-24,880.0,730.5830759446333,794.3497506074013
49,2017-10-25,856.0,650.8222579506648,679.1218353073708
50,2017-10-26,858.0,649.9754585673529,668.8626249407066
51,2017-10-27,858.0,557.8557316391806,577.2695513645461
52,2017-10-28,820.0,545.858611252972,555.9848025977358
53,2017-10-29,820.0,515.952429109544,523.8224213966085
54,2017-10-30,820.0,452.6165826893473,457.36014622502415
55,2017-10-31,820.0,447.2320449859647,449.9602948819749
56,2017-11-01,839.0,575.8408822209263,798.4953893338479
57,2017-11-02,839.0,648.3569084149697,794.7855955198663
58,2017-11-03,839.0,616.1826926902606,795.7147995946666
59,2017-11-04,839.0,642.8486709506916,794.5348675383182
60,2017-11-05,839.0,557.5302140301742,796.3019609984889
61,2017-11-06,888.0,656.1743103983946,795.1634785509854
62,2017-11-07,888.0,666.3401320497921,796.7685102328076
63,2017-11-08,888.0,578.0553876040476,599.0102191839206
64,2017-11-09,935.0,548.1426913568614,553.5166223258524
65,2017-11-10,935.0,547.4778435104608,549.8561734873127
66,2017-11-11,959.0,515.249724429784,516.28004419175
67,2017-11-12,977.0,528.1644296566353,529.3531512767427
68,2017-11-13,977.0,528.3991079182074,528.1119075635063
69,2017-11-14,1000.0,538.7875516234358,538.8333720339026
70,2017-11-15,1000.0,861.0895551622367,794.9078745837215
71,2017-11-16,1000.0,864.4813441154763,795.3623409655686
72,2017-11-17,1002.0,878.4970991405844,795.8775509386453
73,2017-11-18,1189.0,898.0446540982111,794.4931973111031
74,2017-11-19,1234.0,873.2586299824031,794.3154151416496
