id,date,real,pred_good,pred_bad
0,2017-09-06,1178.0,859.7384858258376,669.0065664749391
1,2017-09-07,1180.0,860.4476723492837,667.2074320712467
2,2017-09-08,1180.0,852.2614825802026,665.5116919852615
3,2017-09-09,1180.0,846.3358466290058,666.6375761457084
4,2017-09-10,1180.0,859.8834313787725,667.0835395228457
5,2017-09-11,1180.0,831.9533821591943,664.4893488830423
6,2017-09-12,1180.0,833.4667143106271,666.5142752929561
7,2017-09-13,1104.0,751.6160635707043,636.7266463402989
8,2017-09-14,1104.0,700.3524727804972,625.3686232911404
9,2017-09-15,1104.0,657.740419085957,619.5743646016211
10,2017-09-16,1034.0,562.7506069613182,552.8683997193317
11,2017-09-17,1034.0,562.8391435646106,556.0830736577943
12,2017-09-18,1034.0,561.2501273860862,560.070598678067
13,2017-09-19,1034.0,514.0988421813821,514.1670509623274
14,2017-09-20,1034.0,722.2072713072414,670.1226029263671
15,2017-09-21,1112.0,713.249355151439,668.336784041551
16,2017-09-22,1099.0,761.3785002528564,671.7436961093937
17,2017-09-23,1067.0,792.2667171935913,670.5160483444472
18,2017-09-24,1067.0,857.8843824230332,672.5869035906753
19,2017-09-25,1067.0,780.9228456109213,671.961868022374
20,2017-09-26,1067.0,778.565545294281,669.5460149244171
21,2017-09-27,1087.0,638.5123440458461,575.983133185819
22,2017-09-28,652.0,548.758430621606,532.0526566200623
23,2017-09-29,652.0,436.2288774067471,432.65378602795306
24,2017-09-30,652.0,452.2987480476723,452.6978368221706
25,2017-10-01,652.0,453.42891135105,452.6264016431926
26,2017-10-02,652.0,443.7123940380819,443.3590504375687
27,2017-10-03,652.0,409.86263150407143,409.4817650621241
28,2017-10-04,652.0,488.33732627241716,670.4281356250468
29,2017-10-05,652.0,500.2019127469738,665.6766131832932
30,2017-10-06,652.0,516.0187156323466,668.4317440928046
31,2017-10-07,709.0,544.8715904263262,668.6946993193236
32,2017-10-08,709.0,543.0978137313506,669.6482570923573
33,2017-10-09,709.0,555.4964296699573,671.3504310401472
34,2017-10-10,709.0,536.1028313223226,669.1508180872172
35,2017-10-11,709.0,509.62447944856626,557.3694067438826
36,2017-10-12,698.0,495.8416857379916,516.4511590005916
37,2017-10-13,653.0,469.2654058676083,480.1572560564121
38,2017-10-14,653.0,446.7151102879441,451.2765857676435
39,2017-10-15,653.0,441.0389067142349,443.0014958574635
40,2017-10-16,653.0,407.91397797675876,408.42429417263867
41,2017-10-17,653.0,414.1949721338131,413.90832257338474
42,2017-10-18,653.0,569.9177018006129,671.3471554130366
43,2017-10-19,705.0,561.3073997380192,668.878886127674
44,2017-10-20,705.0,565.7097668377387,668.6776225095483
45,2017-10-21,705.0,534.2896865123842,668.246325610792
46,2017-10-22,705.0,516.30834923227,674.1119659900027
47,2017-10-23,705.0,524.5288175870227,674.1118476508728
48,2017-10-24,756.0,610.3210133883998,674.2467078698163
49,2017-10-25,753.0,483.84611962123324,510.87480714440204
50,2017-10-26,755.0,455.7314083433598,476.85619644667906
51,2017-10-27,755.0,450.38382779932147,471.7755889792921
52,2017-10-28,721.0,432.7544254107202,444.46379638930836
53,2017-10-29,721.0,360.6892657088452,367.77077011582116
54,2017-10-30,721.0,423.70433348670826,427.3693398829776
55,2017-10-31,721.0,456.4631493582177,458.3196460515817
56,2017-11-01,738.0,545.1764774667142,666.5188924124412
57,2017-11-02,738.0,561.3816902035192,666.1126796223338
58,2017-11-03,738.0,535.010672867133,667.9769422027465
59,2017-11-04,738.0,531.9563342487473,668.6049007475519
60,2017-11-05,738.0,537.2508382730362,667.979785181999
61,2017-11-06,784.0,560.0237174484366,671.2658351298746
62,2017-11-07,784.0,584.9925391703198,670.4147770307274
63,2017-11-08,784.0,529.1202394935328,568.8814372831736
64,2017-11-09,818.0,496.38621992990863,527.540258744241
65,2017-11-10,818.0,455.13767536829585,474.82199035556914
66,2017-11-11,839.0,468.63348627545287,477.44144687292453
67,2017-11-12,857.0,462.8253336253913,464.71360958200705
68,2017-11-13,857.0,458.5038385402103,458.8094980984371
69,2017-11-14,879.0,438.7650534715958,438.2438311415209
70,2017-11-15,879.0,727.8647413233592,669.804376699277
71,2017-11-16,879.0,715.3068806780952,670.0027637298374
72,2017-11-17,880.0,794.6797524001912,668.1048743756795
73,2017-11-18,1047.0,814.0239399009586,670.7839733410581
74,2017-11-19,1087.0,801.2660122828486,669.1590412366633
75,2017-11-20,1096.0,776.5828100976087,671.7451857623586
76,2017-11-21,1096.0,755.660111146184,669.6149943297752
77,2017-11-22,1099.0,607.0574133201453,594.1761933697004
78,2017-11-23,1099.0,562.3464740997547,570.4939016502174
79,2017-11-24,1099.0,591.3500277408259,602.2602971784927
80,2017-11-25,1085.0,487.8172551453961,491.9727497796822
81,2017-11-26,1073.0,438.3032847202928,440.08000001253777
82,2017-11-27,1071.0,422.9492048729652,426.09053505896566
83,2017-11-28,1069.0,414.042074191361,415.3787724110587
84,2017-11-29,1070.0,735.3351781673643,670.795639212466
85,2017-11-30,1070.0,820.4715858474777,670.137426085756
86,2017-12-01,1088.0,856.7463424671813,668.2893726526195
87,2017-12-02,1118.0,865.3501917337096,666.9152309855648
88,2017-12-03,1118.0,826.6593022623466,668.3105439962831
89,2017-12-04,1118.0,823.8436716561565,671.6206186809184
90,2017-12-05,1118.0,796.150399154177,667.5227765038499
91,2017-12-06,1118.0,717.2061233585406,667.4779808830416
92,2017-12-07,998.0,647.8391866987635,631.6158690218242
93,2017-12-08,998.0,579.3560823967882,575.6517230329649
94,2017-12-09,1022.0,537.8520540679506,538.6656213840891
95,2017-12-10,1022.0,481.74440152997386,482.4007993344339
96,2017-12-11,1022.0,482.8561455844887,483.2442221929316
97,2017-12-12,1022.0,479.50772002804985,479.18779161091777
98,2017-12-13,1000.0,777.8955829854158,667.2127251438409
99,2017-12-14,1110.0,811.4103151359158,671.7405156269433
100,2017-12-15,1110.0,852.2236897957348,668.7655882448788
101,2017-12-16,1110.0,845.5667521045295,669.0337967820444
102,2017-12-17,1110.0,909.0729140167537,668.4879343517354
103,2017-12-18,1110.0,892.5785978393266,671.0290257506763
104,2017-12-19,510.0,792.7954905068556,668.1842524770445
105,2017-12-20,510.0,646.1935608674326,603.684486830289
106,2017-12-21,510.0,545.9311062159733,536.5051162000364
107,2017-12-22,510.0,461.61313195701257,460.4962832257981
108,2017-12-23,510.0,438.0027449861743,439.13434729336944
109,2017-12-24,510.0,460.1144019074743,459.4202416133637
110,2017-12-25,510.0,363.6049600962755,362.942685097277
111,2017-12-26,510.0,341.51976569780726,340.2130290523289
112,2017-12-27,510.0,402.6944536250615,672.8320085428671
113,2017-12-28,510.0,415.1821590473745,671.8626638565721
114,2017-12-29,485.0,361.04456332506834,671.6497575615078
115,2017-12-30,485.0,433.02956294060925,670.2650264357693
116,2017-12-31,485.0,452.9090522877494,669.4497294749107
117,2018-01-01,485.0,414.86785031883466,667.991668324049
118,2018-01-02,485.0,398.38980245824854,666.6773125320427
119,2018-01-03,485.0,359.3582629147827,455.4698731863974
120,2018-01-04,485.0,328.1016761441991,383.9255116871565
121,2018-01-05,485.0,313.91464354020064,341.4112496625658
122,2018-01-06,484.0,309.4651225574959,323.05810409084967
123,2018-01-07,484.0,327.9560792526942,334.7853490115909
124,2018-01-08,484.0,332.0284297611512,334.86169195095675
125,2018-01-09,484.0,351.41211412985433,352.1045324719755
126,2018-01-10,484.0,398.3551451873618,669.010323978986
127,2018-01-11,484.0,454.96163218549634,665.3867930809014
128,2018-01-12,484.0,467.72700475493536,667.8741414741141
129,2018-01-13,474.0,455.66510813589866,669.1688946259603
130,2018-01-14,474.0,420.6282280421581,676.0157294618815
131,2018-01-15,474.0,462.16260420413465,671.8641819109282
132,2018-01-16,474.0,427.4200534069849,671.8798604255467
133,2018-01-17,474.0,429.8868391930173,558.7045902227198
134,2018-01-18,474.0,459.73859470000093,525.6885334845874
135,2018-01-19,474.0,462.95167816056005,484.03821905715336
136,2018-01-20,474.0,463.3966484357208,471.85394652400225
137,2018-01-21,474.0,405.38190685964173,408.4467729270075
138,2018-01-22,474.0,384.6489519220993,384.7216291885828
139,2018-01-23,474.0,380.81711196746187,380.2082467312022
140,2018-01-24,474.0,476.35660461609103,675.724795788279
141,2018-01-25,465.0,399.53936959204833,671.5705863169417
142,2018-01-26,466.0,393.43653925499814,669.1293239144077
143,2018-01-27,466.0,405.9072795796743,669.2921973721387
144,2018-01-28,466.0,413.01704905110597,673.82935558075
145,2018-01-29,466.0,369.417172251843,674.617156681496
146,2018-01-30,454.0,448.66253687515984,673.6023039728318
147,2018-01-31,454.0,469.87710366927695,577.8743780345213
148,2018-02-01,454.0,427.80022306813635,479.19648622345665
149,2018-02-02,454.0,409.9990793607792,435.88707613159033
150,2018-02-03,454.0,376.6906852102875,388.0664193669566
151,2018-02-04,454.0,326.6611575859273,332.0159482964612
152,2018-02-05,454.0,322.8342859813121,325.2071578339976
153,2018-02-06,455.0,312.45934111113104,313.93033625551476
154,2018-02-07,455.0,402.00206557775755,669.4241445550649
155,2018-02-08,455.0,408.1515802281263,666.5793542405985
156,2018-02-09,498.0,420.47211884908194,667.6014710784015
157,2018-02-10,497.0,415.8286201517901,666.705568129368
158,2018-02-11,497.0,448.87361601406116,666.783194811613
159,2018-02-12,497.0,472.2451434986177,670.436964670837
160,2018-02-13,497.0,453.46587102804455,670.8029961194825
161,2018-02-14,497.0,427.01719292774413,536.8635644772492
162,2018-02-15,498.0,459.23179270291723,503.37173520855896
163,2018-02-16,498.0,423.49002794977423,437.6688203634919
164,2018-02-17,498.0,433.2143613255821,437.0459286268646
165,2018-02-18,498.0,441.4036411660186,439.9167260951917
166,2018-02-19,498.0,463.3808799833637,462.29794630001436
167,2018-02-20,498.0,451.217995591162,450.5091574581137
168,2018-02-21,498.0,414.0329857461984,669.5278247801094
169,2018-02-22,498.0,405.09186427968604,672.2739780098836
170,2018-02-23,498.0,421.8216317764589,670.8384921781206
171,2018-02-24,498.0,494.4420954777687,673.3160657592184
172,2018-02-25,498.0,397.4472095156183,673.9033303174517
173,2018-02-26,498.0,400.1142440433999,673.3388185870117
174,2018-02-27,498.0,412.8541235241578,672.0707632161871
175,2018-02-28,498.0,400.3548454816711,494.4442918520163
176,2018-03-01,483.0,336.1545535701535,381.14235712501403
177,2018-03-02,483.0,356.2819454065121,373.8108901812494
178,2018-03-03,483.0,345.0306320641189,353.2141710366943
179,2018-03-04,483.0,308.6617040051222,312.3840281955503
180,2018-03-05,483.0,313.1587272612102,314.53698997011816
181,2018-03-06,484.0,306.2484794559148,306.86894760716535
182,2018-03-07,484.0,420.6943616281246,669.6814521649571
183,2018-03-08,484.0,426.563315976324,666.6582570920184
184,2018-03-09,484.0,436.82624575987603,667.4824664094147
185,2018-03-10,484.0,421.0421461296801,666.7436553415905
186,2018-03-11,484.0,447.16969916756864,666.8094500042895
187,2018-03-12,484.0,468.2743412174442,670.4576058551995
188,2018-03-13,484.0,447.8284296729538,670.8188800708302
189,2018-03-14,484.0,422.38826603752966,535.5251546003792
190,2018-03-15,484.0,455.5526992166459,501.36799055615234
191,2018-03-16,475.0,420.7793082955777,435.6100300282171
192,2018-03-17,488.0,430.9818150662071,435.08571762678685
193,2018-03-18,488.0,439.45701739145886,438.07901218849713
194,2018-03-19,488.0,462.24558170846916,461.1734178326375
195,2018-03-20,488.0,450.4946159458535,449.78615649802043
196,2018-03-21,488.0,408.64399218703585,669.5625994434129
197,2018-03-22,488.0,400.02557111343015,672.2857305055345
198,2018-03-23,498.0,416.5430022363875,670.8458547654154
199,2018-03-24,473.0,491.5950491461332,673.3340904654228
200,2018-03-25,473.0,388.5468042834343,673.9529641152395
201,2018-03-26,473.0,388.43553141982693,673.3824267929922
202,2018-03-27,473.0,401.35305970869643,672.1060661453655
203,2018-03-28,469.0,391.9474278099237,491.8342570228128
204,2018-03-29,439.0,330.0882890774742,377.638549451112
205,2018-03-30,439.0,372.6158202320022,389.31959477561
206,2018-03-31,439.0,404.48093899585615,412.73585255777516
207,2018-04-01,439.0,358.9862425594603,361.8993315926107
208,2018-04-02,439.0,343.7188058893495,344.7005397358133
209,2018-04-03,373.0,324.8016617056597,325.52907056165685
210,2018-04-04,373.0,330.2576674004878,669.80660904862
211,2018-04-05,373.0,344.61698662995184,665.6609952583091
212,2018-04-06,413.0,340.2599860190023,668.1333552907079
213,2018-04-07,405.0,392.23313823101853,668.3421850394315
214,2018-04-08,405.0,367.8203930264089,670.2601773715899
215,2018-04-09,405.0,397.68187316971654,672.2919901721402
216,2018-04-10,424.0,363.5981740572207,669.2976731603492
217,2018-04-11,424.0,386.6767658067781,516.4701235561641
218,2018-04-12,432.0,411.80910380454503,468.3002432861576
219,2018-04-13,439.0,401.04750618232987,429.524997896277
220,2018-04-14,443.0,388.73445038122475,402.5259235569297
221,2018-04-15,517.0,395.03140990694806,400.14078230327465
222,2018-04-16,448.0,375.5123077053222,377.07803474311737
223,2018-04-17,502.0,388.2441287647026,388.1848721022425
224,2018-04-18,501.0,466.31843208141004,671.5787824850662
225,-100,-100.0,458.07004705259953,548.2243178468086
226,-100,-100.0,448.9219968371434,485.7135981858353
227,-100,-100.0,443.65178925625605,457.7215354754311
